bd_mere;count;count_distinct;;Exemples
CBN-ALP_2;400022;460;;BOUTEVILLE R.J.
CBN-BPA_1;4136;10;;Bruno CAHUZAC, Alain ROYAUD, Pierre GABORIAUD, Philippe THOMAS & Sophie LAUGAREIL
CBN-FRC_1;124787;118;;Bardat J., Hugonnot V.
CBN-MCE_1;587867;946;;BONNOT,E.J.
CBN-MED_1;481542;833;;VILKS A., GHESTEM A.
CBN-PMP_1;143873;392;;RENAULT M.
CBN-SAT_1;20884;72;;Bouget J., Girard R., Tempere G.
;;;;CHOISY M.
;;;;FRANCEZ A.J., BIGNON J.J.
;;;;DESCUBES Ch., GHESTEM A., VILKS A.
;;;;JAUZEIN P., TISON J.-M. & MOLINA J.
;;;;CHABERT J.P. & ROUX J.P. 
;;;;CONTRE E. & DELAMAIN J.
;;;;ARENES J.
;;;;LACROIX
;;;;BLANC P. 
;;;;Timbal-Lagrave E.
;;;;RECHIN (Abbé)
;;;;HEDDE I.
;;;;THIEBAUD,M.
;;;;DAUMAS,J.C.-CHARRAS,A.-MANDIN,J.P.
;;;;AUBOUY A. 
;;;;DHIEN R.
;;;;LUFRANT J.
;;;;Martrin-Donos V., Jeanbernat E.
;;;;LEBLANC F.
;;;;POURTOY M.
;;;;BARTOLI,C.-GENSAC,P.-GILOT,J.C.
;;;;Grégoire R.
;;;;LADET J.P., MANDIN J.P.
;;;;ROUX N., MADIOT V. & ARBOST J.
;;;;Dubois F.
;;;;CUSSET G., ALLEIZETTE Ch. d'
;;;;CLAUZADE G. & ROUX Cl. 
;;;;DESCOINGS B.M., MEUCCI R.
;;;;LE BRUN P. & CHOPINET R.
;;;;Dessaivre M., Celle J.
;;;;PNR Volcans d'Auvergne, EFFA
;;;;LE BRUN P.
;;;;PAPON J.-P.
;;;;BERTRAND E.
;;;;DELCOURT,E.
;;;;PEYRONNET R., BOTINEAU M., VILKS A.
;;;;BLAISE,S.
;;;;ARVET-TOUVET,C.-GAUTIER,G.
;;;;PROST,J.F.
;;;;FERRAND S.
;;;;ARNAUD,F.-HAUG,E.-KILIAN,W.-FLAHAULT,C.
;;;;DEVAUX,J.P.-LE BOURHIS,M.
;;;;RIVON L.
