bd_mere;count avec casse;count sans casse;;nom_taxon_mere;nom_taxon_originel
CBN-ALP_2;1283816;1208901;;Saxifraga fragosoi Sennen;Saxifraga cf ! hypnoides sufurea
CBN-BPA_1;4439798;4439743;;Cytisus polytrichus M.Bieb., 1819;Cytisus hirsutus L. subsp. genuinus var. pumilus Arc.
CBN-BPA_1_bryo;1721;1715;;Huperzia selago (L.) Bernh. ex Schrank & Mart.;Lycopodium selaginum
CBN-COR_1;71057;4999;;Salix purpurea L., 1753;Salix purpurea L. var. lambertiana (Smith) Koch
CBN-MCE_1;3518837;3513338;;Senecio doronicum (L.) L.;Senecio doronicum ssp. doronicum
CBN-MED_1;1992421;1992351;;Poa L.;Poa cf. alpina
CBN-PMP_1;147331;146715;;Vicia sativa subsp. segetalis (Thuill.) Celak., 1875;Vicia sativa L. ssp. segetalis Thuill.
CBN-SAT_1;127949;127878;;Juncus acutiflorus Ehrh. ex Hoffm.;Juncus acutiflorus Enrh.
Exemples;;;;Bupleurum aristatum sensu 1, 2, non Bartl. in Reichenb.;Bupleurum aristatum
;;;;Carex olbiensis Jord., 1846;Carex Olbiensis Jord.
;;;;Panicum chloroticum Nees ex Trin., 1826;Panicum chloroticum NEES ex TRIN.
;;;;Trisetum paniceum (Lam.) Pers., 1805;Trisetum neglectum R et Sch.
;;;;Knautia foreziensis Chass. ex Szabó;Knautia Foreziensis CASS. et SZ.
;;;;Plantago scabra Moench, 1794;Plantago arenaria Waldst.
;;;;Urtica dioica L., 1753;Urtica dioica L.
;;;;Vicia sepium L., 1753;Vicia dumetorum
;;;;Draba muralis L., 1753;Draba muralis L. (Drave des murailles)
;;;;Inula britannica L.;Inula britanica var. oetteliana
;;;;Carex halleriana Asso;Carex halleriana Asso subsp. Halleriana
;;;;Rosa stylosa Desv.;Rosa stylosa
;;;;Carex elata All.;Carex elata All. = hudsonii A. Benn.
;;;;Crataegus azarolus var. azarolus ;Crataegus azarolus L. var. azarolus
;;;;Primula veris L.;Primula officinalis Jacquin
;;;;Festuca gamisansii Kerguélen  ;Festuca gamisansii Kerguélen
;;;;Hieracium pilosella L. subsp. pilosella;pilosella officinarum
;;;;Trifolium bocconei Savi, 1808;Trifolium bocconi L.
;;;;Fumaria bastardii Boreau, 1847;Fumaria muralis Sonder forme gussonii Boissier
;;;;Geranium columbinum L., 1753;Geranium columbinum (L.)
;;;;Carex echinata Murray;Carex muricata auct. sl.
;;;;Potentilla rupestris L. subsp. rupestris;Potentilla macrocalyx
;;;;Hieracium peleterianum Mérat;Hieracium peleterianum s.l.
;;;;Lysimachia L.;Lysimachia cf. ! nummularia
;;;;Mentha longifolia (L.) Huds.;Mentha candicans Crantz
;;;;Vulpia unilateralis (L.) Stace, 1978;Nardurus tenellus Reichb.
;;;;Eleocharis palustris (L.) Roem. & Schult. subsp. palustris;Heleocharis palustris R. Br. var. reptans Thuil.
;;;;Hieracium laevicaule Jord.;Hieracium gr. laevicaule
;;;;Erodium cicutarium (L.) L'Hér.;Erodium cf ! moschatum
;;;;Limonium pseudominutum Erben, 1988;Limonium minutum L.
;;;;Rosa canina L.;Rosa canina ssp. canina
;;;;Sinapis arvensis L.;Sinapis arvensis
;;;;Scleranthus annuus L., 1753;Spergularia segetalis Fenzl.
;;;;Potamogeton pectinatus L.;Potamogeton pectinatum L.
;;;;Lepidium campestre (L.) R.Br.;Lepidium campestre (L.) R. Br. cf. subvar. umbrosum
;;;;Tragopogon dubius Scop., 1772;Tragopogon dubius Scop.
;;;;Galium tendae Rchb.f., 1855;Galium tendae / Gaillet de Tende
