bd_mere;count;count_distinct;;exemple
CBN-MCE_1;403594;32068;;Echappé d'un jardin voisin.
CBN-SAT_1;911;538;;"Quelques pieds ça et là dans les partie basse du coteau, population se densifiant 
Ensuite de plus en plus vers le haut du coteau, jusqu'à former un couverture herbacée à fort recouvrement"
;;;;Population : indigène
;;;;Minuartia est disséminée su
;;;;Détermination à confirmer (PhA).
;;;;dans les taces de passage d'un tracteur utilisé po
;;;;RR en Forez
;;;;1 individu blanc.
;;;;Très douteux d'après Chassagne : paraît correspond
;;;;A confirmer d'après E. GRENIER.
;;;;Nom ambigu (PhA). Ancienne fiche CBNMC : 005233 in
;;;;Etat de conservation de la population : bon
;;;;Les r
;;;;Dans la flore de Chassagne, Lavergne l'avait ident
;;;;30/06/00
;;;;Rare. Sur les rochers.
;;;;Avec le chêne pubescent.
;;;;m. arvensis (roth. non rchb.), myosotis interméd
;;;;"1 plage au sud de la lande subalpine 10101; prospe"
;;;;>100
;;;;"Pied ; population indigène"
;;;;fleurit depuis mai jusqu'à septembre
;;;;Rejets de souche
;;;;300 touffes stériles
;;;;fleurit en mars et avril
;;;;1 petit herbier avec des traces de broutage
;;;;Taxon très mal connu autrefois. Il faudrait vérifi
;;;;Ancienne fiche CBNMC : 005063 in Spécial Cantal. E
;;;;Avec galles.
;;;;Nom ambigu (PhA). Ancienne fiche CBNMC : 004851 in
;;;;Espèce dont la répartition régionale n'est pas hom
;;;;Se rapporte à S. auriculata ? (PhA)
;;;;à confirmer (PhA)
;;;;A
;;;;confirmer l'espèce.
;;;;A rattacher au groupe (Ph. A.).
;;;;localenent: friche herbeuse en bord de chemin...
;;;;Divers peuplement.
;;;;Introduit dans les parcs, planté dans une haie
;;;;formation des ombellules.
;;;;pl grêle, fle linéaire ciliée à la base, bractées 
;;;;Indigène.
;;;;Il semble qu'il y est des plantules sur
;;;;Station découverte par Breistroffer, a failli disp
;;;;Hybride de O. purpurea x O. militaris
;;;;Environs 20 pieds.
;;;;Manifestement subspontané. Une touffe isolée.
;;;;Unité dénombrée : tache. Population : indigène.
;;;;Subspontanés.
;;;;Feuilles.
;;;;A rechercher. Plante méconnue
;;;;au bord de la Loire. Naturalisée
;;;;sur Sarothamnus europaeus
;;;;004726 in Spécial Cantal. Jean SAPALY ne cite jama
;;;;Apparaît lors des années chaudes et sèches.
;;;;10 à 15 pieds
;;;;6
;;;;étamines.
;;;;Voir fruits tome V page 10.
;;;;Adventice. Cultivé ?
;;;;De grand taille.
;;;;VACC27.
;;;;Bractées
