code_type_territoire;libelle_territoire;count
CBN;CBN Alpin;1098
CBN;CBN de Bailleul;601
CBN;CBN du Bassin parisien;661
CBN;CBN du Massif central;260
CBN;CBN méditerranéen de Porquerolles;1876
CBN;CBN Sud-Atlantique;35
DEP;Sarthe;2015
REG;Alsace;2437
REG;Auvergne;4602
REG;Bourgogne;2924
REG;Centre;2589
REG;Champagne-Ardenne;2092
REG;Corse;2847
REG;Franche-Comté;2627
REG;Haute-Normandie;4671
REG;Île-de-France;2688
REG;Languedoc-Roussillon;4961
REG;La Réunion;2602
REG;Limousin;3058
REG;Nord-Pas-de-Calais;4671
REG;Picardie;4671
REG;Provence-Alpes-Côte d'Azur;5317
REG;Rhône-Alpes;5532
