bd_mere     ;"type_rattachement
Maille_fr5";count;"type_rattachement
Maille_fr10";count;"type_rattachement
Commune";count
CBN-ALP_2;M;248690;M;0;M;284749
CBN-ALP_2;A;4390209;A;4638911;A;4354130
CBN-BAL_2      ;M;57065;M;57065;M;0
CBN-BAL_2      ;A;1184063;A;1183639;A;1243117
CBN-BPA_1      ;M;0;M;0;M;4451960
CBN-BPA_1      ;A;4451960;A;4451960;A;0
CBN-BPA_1_bryo ;M;0;M;0;M;1832
CBN-BPA_1_bryo ;A;1832;A;1832;A;0
CBN-BRE_1      ;A;2453635;A;2453635;A;2453635
CBN-BRE_2      ;M;9645;M;5160;M;0
CBN-BRE_2      ;A;1231;A;992;A;3047
CBN-COR_1      ;A;71126;A;71126;A;69353
CBN-FRC_1      ;M;11185;M;5153;M;757522
CBN-FRC_1      ;A;746337;A;752369;A;0
CBN-MCE_1      ;A;4407565;A;4407565;A;4414735
CBN-MED_1     ;M;0;M;0;M;2142171
CBN-MED_1     ;A;2133607;A;2133607;A;0
CBN-PMP_1     ;M;0;M;0;A;630212
CBN-PMP_1     ;A;750225;A;750225;M;123068
CBN-SAT_1      ;A;181620;A;181620;A;182430
