bd_mere;type_source;count;total;pourcentage;;;Global count;Global %
CBN-ALP_2;B;378180;4638879;8,2%;;B;2343376;11,1%
CBN-ALP_2;H;2700;;0,1%;;H;49766;0,2%
CBN-ALP_2;T;4257999;;91,8%;;T;18705205;88,7%
CBN-BAL_2;B;91251;1241534;7,3%;;TOTAL;21098347;
CBN-BAL_2;H;710;;0,1%;;;;
CBN-BAL_2;T;1149573;;92,6%;;;;
CBN-BPA_1;B;435226;4451960;9,8%;;;;
CBN-BPA_1;H;1202;;0,0%;;;;
CBN-BPA_1;T;4015532;;90,2%;;;;
CBN-BPA_1_bryo;B;1568;1833;85,5%;;;;
CBN-BPA_1_bryo;H;5;;0,3%;;;;
CBN-BPA_1_bryo;T;260;;14,2%;;;;
CBN-BRE_1;T;2453635;2453635;100,0%;;;;
CBN-BRE_2;B;1750;2546;68,7%;;;;
CBN-BRE_2;T;796;;31,3%;;;;
CBN-COR_1;B;8286;71126;11,6%;;;;
CBN-COR_1;H;1;;0,0%;;;;
CBN-COR_1;T;62839;;88,3%;;;;
CBN-FRC_1;B;147483;757522;19,5%;;;;
CBN-FRC_1;H;298;;0,0%;;;;
CBN-FRC_1;T;609741;;80,5%;;;;
CBN-MCE_1;B;590356;4401341;13,4%;;;;
CBN-MCE_1;H;32800;;0,7%;;;;
CBN-MCE_1;T;3778185;;85,8%;;;;
CBN-MED_1;B;521148;2142641;24,3%;;;;
CBN-MED_1;H;10679;;0,5%;;;;
CBN-MED_1;T;1610814;;75,2%;;;;
CBN-PMP_1;B;147165;752900;19,5%;;;;
CBN-PMP_1;H;1371;;0,2%;;;;
CBN-PMP_1;T;604364;;80,3%;;;;
CBN-SAT_1;B;20963;182430;11,5%;;;;
CBN-SAT_1;T;161467;;88,5%;;;;
