libelle_collaborateur_source_taxa;version_referentiel;count;;
CBN Alpin;5;11841;;Aucun = 741
CBN Alpin;7;27;;v5 = 48434
CBN Alpin;;79;;v7 = 4087
CB Alsace;7;2437;;v8 = 2537
CBN de Bailleul;5;4552;;
CBN de Bailleul;7;584;;
CBN de Bailleul;;136;;
CBN du Bassin parisien;5;12308;;
CBN du Bassin parisien;7;681;;
CBN de Corse;5;2964;;
CBN de Corse;;169;;
CBN de Franche-Comté;5;2543;;
CBN de Franche-Comté;7;76;;
CBN de Franche-Comté;;8;;
CBN Mascarin;8;2537;;
CBN Mascarin;;65;;
CBN du Massif central;5;12886;;
CBN du Massif central;7;309;;
CBN du Massif central;;257;;
CBN Méditerranéen de Porquerolles;5;12052;;
CBN Méditerranéen de Porquerolles;;102;;
CBN Sud-Atlantique;5;35;;
